Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
2014-05-23T00:00:00,133,233,21.8884,,,,
2014-05-24T00:00:00,42,47,42.5532,,,,
2014-05-25T00:00:00,31,34,44.1176,,,,
2014-05-26T00:00:00,50,55,41.8182,,,,
2014-05-27T00:00:00,232,434,24.424,,,,
2014-05-28T00:00:00,223,415,28.9157,,,,
2014-05-29T00:00:00,439,710,27.4648,,,,
2014-05-30T00:00:00,636,980,30.4082,,,,
2014-05-31T00:00:00,1986,2385,45.1992,,,,
2014-06-01T00:00:00,1525,1721,41.778,,,,
2014-06-02T00:00:00,2266,2588,49.3045,,,,
2014-06-03T00:00:00,2365,2622,65.103,,,,
2014-06-04T00:00:00,643,839,44.2193,,,,
2014-06-05T00:00:00,3228,3424,67.7278,,,,
2014-06-06T00:00:00,605,695,58.4173,,,,
2014-06-07T00:00:00,135,151,53.6424,,,,
2014-06-08T00:00:00,113,131,54.9618,,,,
2014-06-09T00:00:00,288,381,43.5696,,,,
2014-06-10T00:00:00,347,432,41.4352,,,,
2014-06-11T00:00:00,317,400,45.5,,,,
2014-06-12T00:00:00,258,330,45.4545,,,,
2014-06-13T00:00:00,159,190,43.1579,,,,
2014-06-14T00:00:00,59,71,52.1127,,,,
2014-06-15T00:00:00,75,86,56.9767,,,,
2014-06-16T00:00:00,218,269,50.1859,,,,
2014-06-17T00:00:00,240,310,48.7097,,,,
2014-06-18T00:00:00,345,440,53.4091,,,,
2014-06-19T00:00:00,229,301,48.1728,,,,
2014-06-20T00:00:00,242,283,54.0636,,,,
2014-06-21T00:00:00,58,63,60.3175,,,,
2014-06-22T00:00:00,59,63,50.7937,,,,
2014-06-23T00:00:00,176,252,41.6667,,,,
2014-06-24T00:00:00,221,263,50.1901,,,,
2014-06-25T00:00:00,193,248,38.7097,,,,
2014-06-26T00:00:00,165,205,44.3902,,,,
2014-06-27T00:00:00,172,201,49.7512,,,,
2014-06-28T00:00:00,49,51,49.0196,,,,
2014-06-29T00:00:00,59,67,55.2239,,,,
2014-06-30T00:00:00,193,251,46.2151,,,,
2014-07-01T00:00:00,208,279,44.8029,,,,
2014-07-02T00:00:00,166,206,42.7184,,,,
2014-07-03T00:00:00,335,388,38.1443,,,,
2014-07-04T00:00:00,56,66,65.1515,,,,
2014-07-05T00:00:00,46,50,42,,,,
2014-07-06T00:00:00,75,81,33.3333,,,,
2014-07-07T00:00:00,214,270,42.2222,,,,
2014-07-08T00:00:00,231,277,45.1264,,,,
2014-07-09T00:00:00,188,237,50.211,,,,
2014-07-10T00:00:00,175,228,45.614,,,,
2014-07-11T00:00:00,115,142,55.6338,,,,
2014-07-12T00:00:00,19,23,52.1739,,,,
2014-07-13T00:00:00,46,50,36,,,,
2014-07-14T00:00:00,175,221,45.7014,,,,
2014-07-15T00:00:00,164,201,46.7662,,,,
2014-07-16T00:00:00,202,249,41.7671,,,,
2014-07-17T00:00:00,143,173,41.6185,,,,
2014-07-18T00:00:00,148,174,38.5057,,,,
2014-07-19T00:00:00,48,59,45.7627,,,,
2014-07-20T00:00:00,58,67,64.1791,,,,
2014-07-21T00:00:00,174,223,47.9821,,,,
2014-07-22T00:00:00,155,194,43.8144,,,,
2014-07-23T00:00:00,139,171,43.2749,,,,
2014-07-24T00:00:00,151,182,43.956,,,,
2014-07-25T00:00:00,103,127,37.7953,,,,
2014-07-26T00:00:00,36,44,47.7273,,,,
2014-07-27T00:00:00,40,43,62.7907,,,,
2014-07-28T00:00:00,148,183,46.9945,,,,
2014-07-29T00:00:00,182,229,42.3581,,,,
2014-07-30T00:00:00,152,199,37.6884,,,,
2014-07-31T00:00:00,194,252,41.6667,,,,
2014-08-01T00:00:00,132,176,45.4545,,,,
2014-08-02T00:00:00,43,46,58.6957,,,,
2014-08-03T00:00:00,49,60,41.6667,,,,
2014-08-04T00:00:00,167,208,43.2692,,,,
2014-08-05T00:00:00,171,203,44.335,,,,
2014-08-06T00:00:00,181,248,41.9355,,,,
2014-08-07T00:00:00,163,228,39.4737,,,,
2014-08-08T00:00:00,152,190,41.0526,,,,
2014-08-09T00:00:00,42,50,62,,,,
2014-08-10T00:00:00,51,59,64.4068,,,,
2014-08-11T00:00:00,147,186,42.4731,,,,
2014-08-12T00:00:00,158,216,41.2037,,,,
2014-08-13T00:00:00,151,217,38.2488,,,,
2014-08-14T00:00:00,142,224,51.3393,,,,
2014-08-15T00:00:00,144,194,34.0206,,,,
2014-08-16T00:00:00,33,38,39.4737,,,,
2014-08-17T00:00:00,30,32,59.375,,,,
2014-08-18T00:00:00,132,196,37.2449,,,,
2014-08-19T00:00:00,163,213,42.723,,,,
2014-08-20T00:00:00,269,345,43.7681,,,,
2014-08-21T00:00:00,382,469,46.4819,,,,
2014-08-22T00:00:00,181,219,42.9224,,,,
2014-08-23T00:00:00,40,43,41.8605,,,,
2014-08-24T00:00:00,45,72,50,,,,
2014-08-25T00:00:00,194,244,50.8197,,,,
2014-08-26T00:00:00,238,308,49.026,,,,
2014-08-27T00:00:00,203,248,51.2097,,,,
2014-08-28T00:00:00,156,197,43.1472,,,,
2014-08-29T00:00:00,151,173,46.2428,,,,
2014-08-30T00:00:00,40,59,50.8475,,,,
2014-08-31T00:00:00,50,55,50.9091,,,,
2014-09-01T00:00:00,65,72,48.6111,,,,
2014-09-02T00:00:00,162,202,41.5842,,,,
2014-09-03T00:00:00,176,211,44.5498,,,,
2014-09-04T00:00:00,200,238,44.5378,,,,
2014-09-05T00:00:00,158,188,38.8298,,,,
2014-09-06T00:00:00,34,39,53.8462,,,,
2014-09-07T00:00:00,55,59,62.7119,,,,
2014-09-08T00:00:00,200,255,41.5686,,,,
2014-09-09T00:00:00,172,214,41.5888,,,,
2014-09-10T00:00:00,191,216,47.6852,,,,
2014-09-11T00:00:00,218,265,38.1132,,,,
2014-09-12T00:00:00,161,228,35.5263,,,,
2014-09-13T00:00:00,51,58,62.069,,,,
2014-09-14T00:00:00,55,59,50.8475,,,,
2014-09-15T00:00:00,164,251,43.4263,,,,
2014-09-16T00:00:00,196,260,40,,,,
2014-09-17T00:00:00,181,245,43.2653,,,,
2014-09-18T00:00:00,190,244,35.2459,,,,
2014-09-19T00:00:00,160,210,44.2857,,,,
2014-09-20T00:00:00,58,77,41.5584,,,,
2014-09-21T00:00:00,57,65,47.6923,,,,
2014-09-22T00:00:00,140,166,44.5783,,,,
2014-09-23T00:00:00,158,188,42.5532,,,,
2014-09-24T00:00:00,163,207,46.8599,,,,
2014-09-25T00:00:00,203,282,49.2908,,,,
2014-09-26T00:00:00,149,181,53.5912,,,,
2014-09-27T00:00:00,49,55,69.0909,,,,
2014-09-28T00:00:00,60,70,47.1429,,,,
2014-09-29T00:00:00,185,224,53.125,,,,
2014-09-30T00:00:00,167,200,45,,,,
2014-10-01T00:00:00,207,248,51.2097,,,,
2014-10-02T00:00:00,150,190,48.4211,,,,
2014-10-03T00:00:00,127,163,44.1718,,,,
2014-10-04T00:00:00,39,40,65,,,,
2014-10-05T00:00:00,44,54,57.4074,,,,
2014-10-06T00:00:00,174,202,42.5743,,,,
2014-10-07T00:00:00,153,194,47.9381,,,,
2014-10-08T00:00:00,186,225,48.4444,,,,
2014-10-09T00:00:00,167,199,51.7588,,,,
2014-10-10T00:00:00,106,128,44.5312,,,,
2014-10-11T00:00:00,49,59,37.2881,,,,
2014-10-12T00:00:00,39,42,47.619,,,,
2014-10-13T00:00:00,123,138,52.1739,,,,
2014-10-14T00:00:00,209,255,39.2157,,,,
2014-10-15T00:00:00,199,263,47.5285,,,,
2014-10-16T00:00:00,143,184,48.913,,,,
2014-10-17T00:00:00,143,165,49.0909,,,,
2014-10-18T00:00:00,32,35,60,,,,
2014-10-19T00:00:00,46,51,47.0588,,,,
2014-10-20T00:00:00,165,190,43.1579,,,,
2014-10-21T00:00:00,161,202,44.0594,,,,
2014-10-22T00:00:00,172,210,43.3333,,,,
2014-10-23T00:00:00,275,336,42.8571,,,,
2014-10-24T00:00:00,203,252,44.8413,,,,
2014-10-25T00:00:00,73,112,37.5,,,,
2014-10-26T00:00:00,82,98,44.898,,,,
2014-10-27T00:00:00,199,256,41.4062,,,,
2014-10-28T00:00:00,174,199,48.7437,,,,
2014-10-29T00:00:00,152,187,43.3155,,,,
2014-10-30T00:00:00,177,216,44.4444,,,,
2014-10-31T00:00:00,114,131,52.6718,,,,
2014-11-01T00:00:00,43,49,46.9388,,,,
2014-11-02T00:00:00,56,65,40,,,,
2014-11-03T00:00:00,158,198,54.0404,,,,
2014-11-04T00:00:00,144,178,45.5056,,,,
2014-11-05T00:00:00,172,221,44.3439,,,,
2014-11-06T00:00:00,140,191,38.2199,,,,
2014-11-07T00:00:00,129,174,40.8046,,,,
2014-11-08T00:00:00,63,83,54.2169,,,,
2014-11-09T00:00:00,54,61,57.377,,,,
2014-11-10T00:00:00,163,200,43,,,,
2014-11-11T00:00:00,127,141,50.3546,,,,
2014-11-12T00:00:00,156,188,40.9574,,,,
2014-11-13T00:00:00,150,177,43.5028,,,,
2014-11-14T00:00:00,155,186,49.4624,,,,
2014-11-15T00:00:00,70,74,50,,,,
2014-11-16T00:00:00,115,142,38.0282,,,,
2014-11-17T00:00:00,214,273,49.4505,,,,
2014-11-18T00:00:00,210,257,46.3035,,,,
2014-11-19T00:00:00,205,240,43.75,,,,
2014-11-20T00:00:00,208,255,47.451,,,,
2014-11-21T00:00:00,151,179,48.0447,,,,
2014-11-22T00:00:00,47,56,37.5,,,,
2014-11-23T00:00:00,58,69,36.2319,,,,
2014-11-24T00:00:00,162,200,45,,,,
2014-11-25T00:00:00,148,167,53.2934,,,,
2014-11-26T00:00:00,115,131,46.5649,,,,
2014-11-27T00:00:00,43,47,46.8085,,,,
2014-11-28T00:00:00,40,47,55.3191,,,,
2014-11-29T00:00:00,55,62,56.4516,,,,
2014-11-30T00:00:00,70,74,52.7027,,,,
2014-12-01T00:00:00,137,170,36.4706,,,,
2014-12-02T00:00:00,163,206,49.5146,,,,
2014-12-03T00:00:00,150,191,42.4084,,,,
2014-12-04T00:00:00,173,216,44.9074,,,,
2014-12-05T00:00:00,125,159,42.7673,,,,
2014-12-06T00:00:00,50,53,49.0566,,,,
2014-12-07T00:00:00,53,59,52.5424,,,,
2014-12-08T00:00:00,186,216,42.5926,,,,
2014-12-09T00:00:00,144,182,40.6593,,,,
2014-12-10T00:00:00,154,177,49.7175,,,,
2014-12-11T00:00:00,149,194,50.5155,,,,
2014-12-12T00:00:00,113,132,53.0303,,,,
2014-12-13T00:00:00,55,65,50.7692,,,,
2014-12-14T00:00:00,60,68,50,,,,
2014-12-15T00:00:00,170,201,51.7413,,,,
2014-12-16T00:00:00,164,201,44.7761,,,,
2014-12-17T00:00:00,164,193,44.5596,,,,
2014-12-18T00:00:00,187,229,41.4847,,,,
2014-12-19T00:00:00,137,159,49.0566,,,,
2014-12-20T00:00:00,37,40,52.5,,,,
2014-12-21T00:00:00,50,60,61.6667,,,,
2014-12-22T00:00:00,128,137,50.365,,,,
2014-12-23T00:00:00,104,116,56.8966,,,,
2014-12-24T00:00:00,77,83,44.5783,,,,
2014-12-25T00:00:00,23,24,54.1667,,,,
2014-12-26T00:00:00,61,73,47.9452,,,,
2014-12-27T00:00:00,31,35,45.7143,,,,
2014-12-28T00:00:00,43,54,42.5926,,,,
2014-12-29T00:00:00,109,127,48.0315,,,,
2014-12-30T00:00:00,88,114,50.8772,,,,
2014-12-31T00:00:00,66,73,49.3151,,,,
2015-01-01T00:00:00,35,39,58.9744,,,,
2015-01-02T00:00:00,80,86,54.6512,,,,
2015-01-03T00:00:00,45,49,63.2653,,,,
2015-01-04T00:00:00,53,61,40.9836,,,,
2015-01-05T00:00:00,160,196,54.0816,,,,
2015-01-06T00:00:00,209,242,52.4793,,,,
2015-01-07T00:00:00,207,270,52.5926,,,,
2015-01-08T00:00:00,171,200,51.5,,,,
2015-01-09T00:00:00,138,171,49.7076,,,,
2015-01-10T00:00:00,59,71,74.6479,,,,
2015-01-11T00:00:00,72,79,60.7595,,,,
2015-01-12T00:00:00,200,253,46.6403,,,,
2015-01-13T00:00:00,214,251,49.004,,,,
2015-01-14T00:00:00,201,253,49.8024,,,,
2015-01-15T00:00:00,194,226,46.9027,,,,
2015-01-16T00:00:00,181,209,45.933,,,,
2015-01-17T00:00:00,61,67,58.209,,,,
2015-01-18T00:00:00,88,110,55.4545,,,,
2015-01-19T00:00:00,120,136,61.7647,,,,
2015-01-20T00:00:00,234,284,51.0563,,,,
2015-01-21T00:00:00,187,226,47.7876,,,,
2015-01-22T00:00:00,282,312,54.8077,,,,
2015-01-23T00:00:00,185,240,49.5833,,,,
2015-01-24T00:00:00,70,79,56.962,,,,
2015-01-25T00:00:00,77,93,65.5914,,,,
2015-01-26T00:00:00,214,282,49.6454,,,,
2015-01-27T00:00:00,225,290,53.1034,,,,
2015-01-28T00:00:00,210,245,50.2041,,,,
2015-01-29T00:00:00,236,278,50.7194,,,,
2015-01-30T00:00:00,171,214,49.0654,,,,
2015-01-31T00:00:00,65,72,62.5,,,,
2015-02-01T00:00:00,66,74,68.9189,,,,
2015-02-02T00:00:00,217,266,48.1203,,,,
2015-02-03T00:00:00,211,264,51.8939,,,,
2015-02-04T00:00:00,212,258,50.7752,,,,
2015-02-05T00:00:00,211,245,46.9388,,,,
2015-02-06T00:00:00,183,218,51.8349,,,,
2015-02-07T00:00:00,70,86,52.3256,,,,
2015-02-08T00:00:00,108,131,52.6718,,,,
2015-02-09T00:00:00,211,263,57.0342,,,,
2015-02-10T00:00:00,206,236,50.4237,,,,
2015-02-11T00:00:00,222,272,51.8382,,,,
2015-02-12T00:00:00,221,267,56.1798,,,,
2015-02-13T00:00:00,147,181,59.6685,,,,
2015-02-14T00:00:00,68,74,62.1622,,,,
2015-02-15T00:00:00,102,113,63.7168,,,,
2015-02-16T00:00:00,162,193,58.5492,,,,
2015-02-17T00:00:00,251,298,43.2886,,,,
2015-02-18T00:00:00,248,303,49.1749,,,,
2015-02-19T00:00:00,228,291,48.7973,,,,
2015-02-20T00:00:00,165,198,44.9495,,,,
2015-02-21T00:00:00,81,90,56.6667,,,,
2015-02-22T00:00:00,80,95,58.9474,,,,
2015-02-23T00:00:00,214,242,54.5455,,,,
2015-02-24T00:00:00,231,268,49.2537,,,,
2015-02-25T00:00:00,205,231,54.9784,,,,
2015-02-26T00:00:00,147,173,47.3988,,,,
2015-02-27T00:00:00,34,38,52.6316,,,,
2015-02-28T00:00:00,20,23,69.5652,,,,
2015-03-01T00:00:00,10,10,70,,,,
2015-03-02T00:00:00,26,36,36.1111,,,,
2015-03-03T00:00:00,36,36,61.1111,,,,
2015-03-04T00:00:00,109,119,12.605,,,,
2015-03-05T00:00:00,307,372,4.3011,,,,
2015-03-06T00:00:00,212,240,5.4167,,,,
2015-03-07T00:00:00,108,117,0,,,,
2015-03-08T00:00:00,96,115,3.4783,,,,
2015-03-09T00:00:00,269,328,3.6585,,,,
2015-03-10T00:00:00,290,334,6.2874,,,,
2015-03-11T00:00:00,310,361,6.0942,,,,
2015-03-12T00:00:00,256,288,5.2083,,,,
2015-03-13T00:00:00,284,329,3.0395,,,,
2015-03-14T00:00:00,151,179,3.9106,,,,
2015-03-15T00:00:00,128,143,2.0979,,,,
2015-03-16T00:00:00,323,371,3.7736,,,,
2015-03-17T00:00:00,266,295,4.4068,,,,
2015-03-18T00:00:00,277,331,6.6465,,,,
2015-03-19T00:00:00,248,277,8.3032,,,,
2015-03-20T00:00:00,187,224,6.25,,,,
2015-03-21T00:00:00,77,85,3.5294,,,,
2015-03-22T00:00:00,126,140,2.8571,,,,
2015-03-23T00:00:00,286,325,0.9231,,,,
2015-03-24T00:00:00,288,349,4.298,,,,
2015-03-25T00:00:00,305,346,2.0231,,,,
2015-03-26T00:00:00,280,326,4.908,,,,
2015-03-27T00:00:00,255,286,3.1469,,,,
2015-03-28T00:00:00,86,95,2.1053,,,,
2015-03-29T00:00:00,140,153,1.9608,,,,
2015-03-30T00:00:00,362,407,2.457,,,,
2015-03-31T00:00:00,302,345,5.7971,,,,
2015-04-01T00:00:00,282,325,6.7692,,,,
2015-04-02T00:00:00,248,289,5.1903,,,,
2015-04-03T00:00:00,232,261,8.046,,,,
2015-04-04T00:00:00,96,110,4.5455,,,,
2015-04-05T00:00:00,100,107,6.5421,,,,
2015-04-06T00:00:00,292,336,4.4643,,,,
2015-04-07T00:00:00,318,385,7.7922,,,,
2015-04-08T00:00:00,688,848,24.2925,,,,
2015-04-09T00:00:00,613,705,21.844,,,,
2015-04-10T00:00:00,596,688,17.2965,,,,
2015-04-11T00:00:00,181,200,20,,,,
2015-04-12T00:00:00,191,214,14.0187,,,,
2015-04-13T00:00:00,464,527,17.8368,,,,
2015-04-14T00:00:00,477,549,15.1184,,,,
2015-04-15T00:00:00,446,520,9.6154,,,,
2015-04-16T00:00:00,542,613,9.2985,,,,
2015-04-17T00:00:00,449,501,6.986,,,,
2015-04-18T00:00:00,170,184,4.8913,,,,
2015-04-19T00:00:00,195,202,6.9307,,,,
2015-04-20T00:00:00,504,598,7.6923,,,,
2015-04-21T00:00:00,563,628,8.758,,,,
2015-04-22T00:00:00,651,732,8.6066,,,,
2015-04-23T00:00:00,662,714,3.7815,,,,
2015-04-24T00:00:00,488,531,5.0847,,,,
2015-04-25T00:00:00,202,211,4.2654,,,,
2015-04-26T00:00:00,245,261,5.7471,,,,
2015-04-27T00:00:00,624,685,6.1314,,,,
2015-04-28T00:00:00,525,590,4.5763,,,,
2015-04-29T00:00:00,339,393,6.3613,,,,
2015-04-30T00:00:00,376,476,6.5126,,,,
2015-05-01T00:00:00,322,369,5.4201,,,,
2015-05-02T00:00:00,132,139,5.7554,,,,
2015-05-03T00:00:00,166,173,5.7803,,,,
2015-05-04T00:00:00,376,418,8.6124,,,,
2015-05-05T00:00:00,480,563,6.2167,,,,
2015-05-06T00:00:00,389,442,8.371,,,,
2015-05-07T00:00:00,776,884,58.2579,,,,
2015-05-08T00:00:00,680,776,54.1237,,,,
2015-05-09T00:00:00,128,155,21.9355,,,,
2015-05-10T00:00:00,129,155,14.1935,,,,
2015-05-11T00:00:00,357,432,7.8704,,,,
2015-05-12T00:00:00,341,415,7.7108,,,,
2015-05-13T00:00:00,348,399,9.0226,,,,
2015-05-14T00:00:00,524,583,4.2882,,,,
2015-05-15T00:00:00,311,344,6.3953,,,,
2015-05-16T00:00:00,130,156,6.4103,,,,
2015-05-17T00:00:00,112,132,8.3333,,,,
2015-05-18T00:00:00,300,352,6.5341,,,,
2015-05-19T00:00:00,347,419,6.6826,,,,
2015-05-20T00:00:00,334,376,3.9894,,,,
2015-05-21T00:00:00,364,442,8.1448,,,,
2015-05-22T00:00:00,237,272,6.9853,,,,
2015-05-23T00:00:00,104,126,3.9683,,,,
2015-05-24T00:00:00,100,107,10.2804,,,,
2015-05-25T00:00:00,171,186,6.4516,,,,
2015-05-26T00:00:00,419,478,5.0209,,,,
2015-05-27T00:00:00,348,401,6.9825,,,,
2015-05-28T00:00:00,485,559,17.5313,,,,
2015-05-29T00:00:00,263,298,10.4027,,,,
2015-05-30T00:00:00,104,119,8.4034,,,,
2015-05-31T00:00:00,119,129,14.7287,,,,
2015-06-01T00:00:00,334,396,10.8586,,,,
2015-06-02T00:00:00,329,405,9.6296,,,,
2015-06-03T00:00:00,325,359,12.5348,,,,
2015-06-04T00:00:00,459,528,11.9318,,,,
2015-06-05T00:00:00,498,556,7.9137,,,,
2015-06-06T00:00:00,164,226,4.4248,,,,
2015-06-07T00:00:00,143,164,4.2683,,,,
2015-06-08T00:00:00,347,408,11.5196,,,,
2015-06-09T00:00:00,334,408,11.2745,,,,
2015-06-10T00:00:00,326,388,8.2474,,,,
2015-06-11T00:00:00,316,350,10,,,,
2015-06-12T00:00:00,269,293,8.5324,,,,
2015-06-13T00:00:00,85,97,8.2474,,,,
2015-06-14T00:00:00,112,123,10.5691,,,,
2015-06-15T00:00:00,302,357,7.0028,,,,
2015-06-16T00:00:00,287,335,6.2687,,,,
2015-06-17T00:00:00,277,321,8.0997,,,,
2015-06-18T00:00:00,261,292,7.8767,,,,
2015-06-19T00:00:00,271,313,5.7508,,,,
2015-06-20T00:00:00,69,83,6.0241,,,,
2015-06-21T00:00:00,116,124,26.6129,,,,
2015-06-22T00:00:00,405,453,7.947,,,,
2015-06-23T00:00:00,298,340,7.6471,,,,
2015-06-24T00:00:00,477,531,5.838,,,,
2015-06-25T00:00:00,428,485,7.0103,,,,
2015-06-26T00:00:00,459,507,8.4813,,,,
2015-06-27T00:00:00,242,253,4.7431,,,,
2015-06-28T00:00:00,189,206,1.9417,,,,
2015-06-29T00:00:00,440,510,7.2549,,,,
2015-06-30T00:00:00,407,466,4.721,,,,
2015-07-01T00:00:00,407,450,6.8889,,,,
2015-07-02T00:00:00,429,474,6.3291,,,,
2015-07-03T00:00:00,284,303,2.3102,,,,
2015-07-04T00:00:00,164,170,1.1765,,,,
2015-07-05T00:00:00,195,202,3.9604,,,,
2015-07-06T00:00:00,427,476,7.3529,,,,
2015-07-07T00:00:00,358,394,4.5685,,,,
2015-07-08T00:00:00,396,440,5.6818,,,,
2015-07-09T00:00:00,375,415,7.4699,,,,
2015-07-10T00:00:00,327,358,4.1899,,,,
2015-07-11T00:00:00,186,200,6,,,,
2015-07-12T00:00:00,188,201,3.9801,,,,
2015-07-13T00:00:00,384,411,6.5693,,,,
2015-07-14T00:00:00,428,482,7.8838,,,,
2015-07-15T00:00:00,398,433,5.7737,,,,
2015-07-16T00:00:00,327,354,6.2147,,,,
2015-07-17T00:00:00,318,340,4.7059,,,,
2015-07-18T00:00:00,193,201,0.4975,,,,
2015-07-19T00:00:00,196,203,3.4483,,,,
2015-07-20T00:00:00,369,398,5.7789,,,,
2015-07-21T00:00:00,359,424,9.434,,,,
2015-07-22T00:00:00,345,387,7.2351,,,,
2015-07-23T00:00:00,398,454,7.489,,,,
2015-07-24T00:00:00,344,374,5.3476,,,,
2015-07-25T00:00:00,181,186,1.6129,,,,
2015-07-26T00:00:00,194,210,3.3333,,,,
2015-07-27T00:00:00,353,392,5.6122,,,,
2015-07-28T00:00:00,306,351,6.8376,,,,
2015-07-29T00:00:00,377,420,8.8095,,,,
2015-07-30T00:00:00,399,454,6.1674,,,,
2015-07-31T00:00:00,346,370,5.4054,,,,
2015-08-01T00:00:00,201,211,1.8957,,,,
2015-08-02T00:00:00,209,225,1.7778,,,,
2015-08-03T00:00:00,433,479,5.2192,,,,
2015-08-04T00:00:00,605,665,4.5113,,,,
2015-08-05T00:00:00,525,583,3.7736,,,,
2015-08-06T00:00:00,436,467,4.0685,,,,
2015-08-07T00:00:00,494,527,2.6565,,,,
2015-08-08T00:00:00,276,292,2.3973,,,,
2015-08-09T00:00:00,299,306,2.2876,,,,
2015-08-10T00:00:00,500,549,5.4645,,,,
2015-08-11T00:00:00,450,488,4.7131,,,,
2015-08-12T00:00:00,438,486,4.5267,,,,
2015-08-13T00:00:00,412,442,5.4299,,,,
2015-08-14T00:00:00,401,428,5.6075,,,,
2015-08-15T00:00:00,235,241,1.6598,,,,
2015-08-16T00:00:00,257,264,4.1667,,,,
2015-08-17T00:00:00,417,458,3.9301,,,,
2015-08-18T00:00:00,341,396,6.0606,,,,
2015-08-19T00:00:00,375,432,5.0926,,,,
2015-08-20T00:00:00,526,591,4.0609,,,,
2015-08-21T00:00:00,422,476,4.4118,,,,
2015-08-22T00:00:00,190,203,3.4483,,,,
2015-08-23T00:00:00,183,189,4.7619,,,,
2015-08-24T00:00:00,335,383,8.094,,,,
2015-08-25T00:00:00,329,365,4.9315,,,,
2015-08-26T00:00:00,373,405,4.6914,,,,
2015-08-27T00:00:00,381,423,5.6738,,,,
2015-08-28T00:00:00,252,290,8.6207,,,,
2015-08-29T00:00:00,112,123,7.3171,,,,
2015-08-30T00:00:00,106,117,5.9829,,,,
2015-08-31T00:00:00,294,335,8.0597,,,,
2015-09-01T00:00:00,279,314,5.0955,,,,
2015-09-02T00:00:00,346,391,8.6957,,,,
2015-09-03T00:00:00,294,360,7.5,,,,
2015-09-04T00:00:00,261,358,5.0279,,,,
2015-09-05T00:00:00,106,123,3.252,,,,
2015-09-06T00:00:00,118,139,5.036,,,,
2015-09-07T00:00:00,178,201,3.4826,,,,
2015-09-08T00:00:00,279,323,5.5728,,,,
2015-09-09T00:00:00,302,374,5.0802,,,,
2015-09-10T00:00:00,353,420,8.5714,,,,
2015-09-11T00:00:00,272,322,6.5217,,,,
2015-09-12T00:00:00,105,118,5.9322,,,,
2015-09-13T00:00:00,121,133,9.7744,,,,
2015-09-14T00:00:00,305,358,6.9832,,,,
